SMILES,Bi Basic,Bi Acidic,Bioavailability
CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc4[nH]cnc4)NC(=O)C5CCC(=O)N5)C(=O)NC(CCCN=C(N)N)C(=O)N6CCCC6C(=O)NNC(N)=O,1,1,0.0
CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(CO)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(Cc6c[nH]cn6)NC(=O)C7CCC(=O)N7)C(=O)NC(CCCNC(N)=N)C(=O)N8CCCC8C(=O)NCC(N)=O,1,1,0.0
CC(C)CC(O)=O,0,1,1.0
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,0,1,1.0
CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(OC(C)=O)c(C)c(C)c2O1,0,0,0.0
CC(C)CCOC(=O)C(=C)C#N,0,0,1.0
CC(C)CCOc1ccc(NC(=S)Nc2ccc(OCCC(C)C)cc2)cc1,1,1,1.0
CC(C)CN(CC(O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CC(N)=O)NC(=O)c2ccc3ccccc3n2)C(=O)NC(C)(C)C,1,1,0.0
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)[S](=O)(=O)c3ccc(N)cc3,1,1,0.0
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@H]3OCC[C@@H]23)[S](=O)(=O)c4ccc(N)cc4,1,1,0.0
CC(C)CN(C[C@@H](O[P](O)(O)=O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)[S](=O)(=O)c3ccc(N)cc3,1,1,0.0
CC(C)CN1C(=O)N(C)C(=O)c2[nH]cnc12,1,1,1.0
CC(C)COc1ccc(cc1C#N)c2sc(C(O)=O)c(C)n2,1,0,1.0
CC(C)C[C@@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(O)=O,1,1,1.0
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,1,1,1.0
CC(C)C[C@H](CN)CC(O)=O,1,1,1.0
CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](Cc1ccc(O)cc1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](Cc2cccnc2)NC(=O)[C@@H](Cc3ccc(Cl)cc3)NC(=O)[C@@H](Cc4ccc5ccccc5c4)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N6CCC[C@H]6C(=O)N[C@H](C)C(N)=O,1,1,0.0
CC(C)Cc1ccc(cc1)C(C)C(O)=O,0,1,1.0
CC(C)Cc1ccc(cc1)[C@H](C)C(O)=O,0,1,1.0
CC(C)Cn1cnc2c(N)nc3ccccc3c12,1,0,1.0
CC(C)N(CCC(C(N)=O)(c1ccccc1)c2ccccn2)C(C)C,1,1,1.0
